ID,NAME,Number,Street,City,State,Zip
331545,Dunkin' Donuts,1236,Dorchester Ave,Boston,MA,2125
331553,Starbucks,7,Allstate Rd,Boston,MA,2125
331561,Dunkin' Donuts,256,Boston St,Boston,MA,2125
331569,Dunkin' Donuts,510,Southampton St,Boston,MA,2127
331577,Savin Scoop,107,Savin Hill Ave,Boston,MA,2125
331585,Sugar Bowl,857,Dorchester Ave,Boston,MA,2125
331593,Dunkin' Donuts,847,Dorchester Ave,Boston,MA,2125
331601,Dunkin' Donuts,75,Old Colony Ave,Boston,MA,2127
331609,Cafe Xo,163,Old Colony Ave,Boston,MA,2127
331617,Starbucks,25,Gates St,Boston,MA,2127
331625,PS Gourmet Coffee,106,Dorchester St,Boston,MA,2127
331633,Dunkin' Donuts,482,W Broadway,Boston,MA,2127
331641,Java House,541,E Broadway,Boston,MA,2127
331657,Dunkin' Donuts,598,Washington St,Boston,MA,2135
331665,Starbucks,470,Washington St,Boston,MA,2135
331681,Cafenation,380,Washington St,Boston,MA,2135
331689,Dunkin' Donuts,350,Washington St,Boston,MA,2135
331697,Dunkin' Donuts,736,Cambridge St,Boston,MA,2135
331705,Allegro Coffee,15,Washington St,Boston,MA,2135
331713,Starbucks,1660,Soldiers Field Rd,Boston,MA,2135
331721,Dunkin' Donuts,214,N Beacon St,Boston,MA,2135
331833,Starbucks,1304,Commonwealth Ave,Boston,MA,2134
331849,Dunkin' Donuts,210,Harvard Ave,Boston,MA,2134
331865,Dunkin' Donuts,509,Cambridge St,Boston,MA,2134
331873,Dunkin' Donuts,60,Everett St,Boston,MA,2134
331881,Dunkin' Donuts,179,Brighton Ave,Boston,MA,2134
331889,Infusions Tea Spa,110,Brighton Ave,Boston,MA,2134
331897,Dunkin' Donuts,219,Cambridge St,Boston,MA,2134
331905,Dunkin' Donuts,209,N Harvard St,Boston,MA,2134
331945,Blue State Coffee,957,Commonwealth Ave,Boston,MA,2215
331953,Dunkin' Donuts,457,Brookline Ave,Boston,MA,2215
331961,Pret A Manger,360,Longwood Ave,Boston,MA,2215
331969,Red Bean Coffee Roasters,350,Longwood Ave,Boston,MA,2115
331977,Dunkin' Donuts,350,Longwood Ave,Boston,MA,2115
332001,Starbucks,775,Commonwealth Ave,Boston,MA,2215
332409,Starbucks,283,Longwood Ave,Boston,MA,2115
332417,Starbucks,364,Brookline Ave,Boston,MA,2215
332425,Dunkin' Donuts,330,Brookline Ave,Boston,MA,2215
332433,Peet's Coffee & Tea,625,Huntington Ave,Boston,MA,2115
332441,Dunkin' Donuts,1420,Boylston St,Boston,MA,2215
332449,Starbucks,1341,Boylston St,Boston,MA,2215
332457,Dunkin' Donuts,702,Commonwealth Ave,Boston,MA,2215
332465,Starbucks,142,Brookline Ave,Boston,MA,2215
332473,Dunkin' Donuts,4,Jersey St,Boston,MA,2215
332481,Starbucks,595,Commonwealth Ave,Boston,MA,2215
332489,New American Cafe,465,Huntington Ave,Boston,MA,2115
332497,Dunkin' Donuts,530,Commonwealth Ave,Boston,MA,2215
332569,Dunkin' Donuts,115,Forsyth St,Boston,MA,2115
332577,Dunkin' Donuts,360,Huntington Ave,Boston,MA,2115
332585,Starbucks,346,Huntington Ave,Boston,MA,2115
332593,Pavement Coffeehouse,44,Gainsborough St,Boston,MA,2115
332601,Dunkin' Donuts,283,Huntington Ave,Boston,MA,2115
332609,Allegro Coffee,15,Westland Ave,Boston,MA,2115
332617,Starbucks,273,Huntington Ave,Boston,MA,2115
332625,Caffe Bene,333,Massachusetts Ave,Boston,MA,2115
332633,Cafe Golden Horn,334,Massachusetts Ave,Boston,MA,2115
332641,Farmer Horse Coffee,374,Massachusetts Ave,Boston,MA,2115
332649,Pavement Coffeehouse,1096,Boylston St,Boston,MA,2215
332657,Dunkin' Donuts,153,Massachusetts Ave,Boston,MA,2115
332665,Starbucks,151,Massachusetts Ave,Boston,MA,2115
332673,Starbucks,350,Newbury St,Boston,MA,2115
332681,Dunkin' Donuts,333,Newbury St,Boston,MA,2115
332689,Starbucks,39,Dalton St,Boston,MA,2199
332697,Pavement Coffeehouse,286,Newbury St,Boston,MA,2115
332705,Dunkin' Donuts,270,Newbury St,Boston,MA,2116
332713,Dunkin' Donuts,800,Boylston St,Boston,MA,2199
332721,Dunkin' Donuts,434,Massachusetts Ave,Boston,MA,2118
332729,Render Coffee,563,Columbus Ave,Boston,MA,2118
332737,Cafe Madeleine,517,Columbus Ave,Boston,MA,2118
332745,Dunkin' Donuts,616,Massachusetts Ave,Boston,MA,2118
332753,Starbucks,627,Tremont St,Boston,MA,2118
332761,Starbucks,110,Huntington Ave,Boston,MA,2116
332769,Peet's Coffee & Tea,799,Boylston St,Boston,MA,2116
332777,Capital One 360,799,Boylston St,Boston,MA,2116
332785,Starbucks,755,Boylston St,Boston,MA,2116
332793,Dunkin' Donuts,715,Boylston St,Boston,MA,2116
332801,Starbucks,165,Newbury St,Boston,MA,2116
332809,Dunkin' Donuts,145,Dartmouth,Boston,MA,2116
332817,Starbucks,185,Dartmouth St,Boston,MA,2116
332825,Starbucks,10,Huntington Ave,Boston,MA,2116
332833,Dunkin' Donuts,430,Stuart St,Boston,MA,2116
332841,Blue Glass Cafe,200,Clarendon St,Boston,MA,2116
332849,L'Aroma Cafe,85,Newbury St,Boston,MA,2116
333033,Dunkin' Donuts,99,Cambridge St,Boston,MA,2129
333089,Dunkin' Donuts,1138,Washington St,Boston,MA,2118
333097,Club Cafe,209,Columbus Ave,Boston,MA,2116
333105,Starbucks,443,Boylston St,Boston,MA,2116
333113,Dunkin' Donuts,8,Park Plz,Boston,MA,2116
333121,Allegro Coffee,348,Harrison Ave,Boston,MA,2118
333129,Starbucks,821,Washington St,Boston,MA,2111
333137,Dunkin' Donuts,80,Boylston St,Boston,MA,2116
333145,Starbucks,62,Boylston St,Boston,MA,2116
333153,Dunkin' Donuts,750,Washington St,Boston,MA,2111
333161,Dunkin' Donuts,630,Washington St,Boston,MA,2111
333169,Dunkin' Donuts,16,Kneeland St,Boston,MA,2111
333177,Kneeland Cafe,75,Kneeland St,Boston,MA,2111
333185,Beantowne Coffee House,99,Kneeland St,Boston,MA,2111
333193,Bao Bao Bakery & Cafe,77,Harrison Ave,Boston,MA,2111
333201,Dunkin' Donuts,161,Charles St,Boston,MA,2114
333209,Starbucks,97,Charles St,Boston,MA,2114
333217,Starbucks,66,Beacon St,Boston,MA,2108
333225,Starbucks,222,Cambridge St,Boston,MA,2114
333233,Dunkin' Donuts,125,Nashua St,Boston,MA,2114
333241,Thinking Cup,165,Tremont St,Boston,MA,2111
333249,Caffe Nero,560,Washington St,Boston,MA,2111
333257,Boston Common Coffee,515,Washington St,Boston,MA,2111
333265,Dunkin' Donuts,127,Tremont St,Boston,MA,2108
333273,Dunkin' Donuts,22,Beacon St,Boston,MA,2108
333281,Capital Coffee House,122,Bowdoin St,Boston,MA,2108
333289,Starbucks,12,Winter St,Boston,MA,2108
333297,Dunkin' Donuts,1,Summer St,Boston,MA,2110
333305,Dunkin' Donuts,101,Summer St,Boston,MA,2110
333313,Boston Coffee Exchange,101,Arch St,Boston,MA,2110
333321,Dunkin' Donuts,10,Winthrop Sq,Boston,MA,2110
333329,Boston Brewin Coffee Co,45,Bromfield St,Boston,MA,2108
333337,Starbucks,27,School St,Boston,MA,2108
333345,Dunkin' Donuts,235,Washington St,Boston,MA,2108
333353,Starbucks,240,Washington St,Boston,MA,2108
333361,Paul USA,201,Washington St,Boston,MA,2108
333369,Starbucks,63,Court St,Boston,MA,2108
333377,Dunkin' Donuts,100,City Hall Plz,Boston,MA,2108
333385,Dunkin' Donuts,106,Cambridge St,Boston,MA,2114
333393,Dunkin' Donuts,100,Cambridge St,Boston,MA,2114
333401,Dunkin' Donuts,59,Causeway St,Boston,MA,2114
333409,Dunkin' Donuts,100,Legends Way,Boston,MA,2114
333417,Cuppacoffee,1,Merrimac St,Boston,MA,2114
333425,Dunkin' Donuts,1,Congress St,Boston,MA,2114
333433,Dunkin' Donuts,180,Canal St,Boston,MA,2114
333449,Equal Exchange Cafe,226,Causeway St,Boston,MA,2114
333457,Causeway Cafe,239,Causeway St,Boston,MA,2114
333465,Anne-Marie's Place,251,Causeway St,Boston,MA,2114
333473,Dunkin' Donuts,48,W Broadway,Boston,MA,2127
333481,Starbucks,11,W Broadway,Boston,MA,2127
333489,Juice Box,359,W Broadway,Boston,MA,2127
333497,Dunkin' Donuts,711,Atlantic Ave,Boston,MA,2111
333513,Honey Dew Donuts,700,Atlantic Ave,Boston,MA,2111
333521,Starbucks,655,Atlantic Ave,Boston,MA,2111
333529,Dunkin' Donuts,1,South Sta,Boston,MA,2110
333537,Dunkin' Donuts,268,Summer St,Boston,MA,2210
333545,Starbucks,303,Congress St,Boston,MA,2210
333553,Jakes Coffee Shop,402,W Broadway,Boston,MA,2127
333561,Barrington Coffee Roasting,346,Congress St,Boston,MA,2210
333569,Caffe Nero,368,Congress St,Boston,MA,2210
333577,Dunkin' Donuts,330,Congress St,Boston,MA,2210
333585,Dunkin' Donuts,411,D St,Boston,MA,2210
333593,Starbucks,425,Summer St,Boston,MA,2210
333609,Starbucks,103,Seaport Blvd,Boston,MA,2210
333617,Brew Cafe Boston,75,Harbor Shore Dr,Boston,MA,2210
333625,Blue State Coffee,155,Seaport Blvd,Boston,MA,2210
333633,Seaport Boston Hotel,1,Seaport Ln,Boston,MA,2210
333641,Dunkin' Donuts,200,Seaport Blvd,Boston,MA,2210
333649,Starbucks,125,Summer St,Boston,MA,2110
333657,Boston Common Coffee,10,High St,Boston,MA,2110
333665,Starbucks,75,Federal St,Boston,MA,2110
333673,Starbucks,1,Federal St,Boston,MA,2110
333681,Pret A Manger,185,Franklin St,Boston,MA,2110
333689,Dunkin' Donuts,230,Congress St,Boston,MA,2110
333697,Starbucks,211,Congress St,Boston,MA,2110
333705,Flat Black Coffee,260,Franklin St,Boston,MA,2110
333713,Dunkin' Donuts,3,Post Office Sq,Boston,MA,2109
333721,Starbucks,84,State St,Boston,MA,2109
333729,Piadina Cafe and Coffee Bar,75,State St,Boston,MA,2109
333737,Dunkin' Donuts,20,North St,Boston,MA,2109
333745,Red Barn Coffee Roasters,1,Faneuil Hall Sq,Boston,MA,2109
333753,Starbucks,2,Faneuil Hall Market Pl,Boston,MA,2109
333761,Dunkin' Donuts,265,Franklin St,Boston,MA,2110
333769,Starbucks,45,Broad St,Boston,MA,2109
333777,Espresso Love,33,Broad St,Boston,MA,2109
333785,Dunkin' Donuts,111,State St,Boston,MA,2109
333801,Starbucks,30,Rowes Whrf,Boston,MA,2110
333809,Dunkin' Donuts,89,Broad St,Boston,MA,2110
333817,Dunkin' Donuts,70,E India Row,Boston,MA,2110
333825,Starbucks,296,State St,Boston,MA,2109
333833,Maria's Pastry Shop,46,Cross St,Boston,MA,2113
333841,Boston Common Coffee,97,Salem St,Boston,MA,2113
333849,Polcari's Coffee,105,Salem St,Boston,MA,2113
333857,Thinking Cup,236,Hanover St,Boston,MA,2113
333865,Modern Pastry Shop,257,Hanover St,Boston,MA,2113
333873,Caffe Vittoria,296,Hanover St,Boston,MA,2113
333881,Cafe dello Sport,308,Hanover St,Boston,MA,2113
333889,Starbucks,2,Atlantic Ave,Boston,MA,2110
333897,A&Q's Place,1,Courthouse Way,Boston,MA,2210
333905,Starbucks,50,Northern Ave,Boston,MA,2210
333913,Allegro Coffee,51,Austin St,Boston,MA,2129
333921,Dunkin' Donuts,11,Austin St,Boston,MA,2129
333945,Style Cafe,197,8th St,Boston,MA,2129
333953,Dunkin' Donuts,100,1st Ave,Boston,MA,2129
335417,Starbucks,749,E Broadway,Boston,MA,2127
335473,Margaret's Coffee Shop,11,Elkins St,Boston,MA,2127
335481,Starbucks,601,Congress St,Boston,MA,2210
335489,Starbucks,636,Congress St,Boston,MA,2210
335497,Dunkin' Donuts,1,Harbor St,Boston,MA,2210
335505,Starbucks,1,Harborside Dr,Boston,MA,2128
335513,Cafe Presto,1,Hotel Dr,Boston,MA,2128
335521,Dunkin' Donuts,100,Terminal Rd,Boston,MA,2128
335529,Starbucks,500,Terminal Rd,Boston,MA,2128
335537,Dunkin' Donuts,200,Terminal Rd,Boston,MA,2128
335561,Honey Dew Donuts,14,Maverick Sq,Boston,MA,2128
335569,Dunkin' Donuts,13,Maverick Sq,Boston,MA,2128
335577,Dunkin' Donuts,34,William C Kelly Sq,Boston,MA,2128
335585,Honey Dew Donuts,470,Meridian St,Boston,MA,2128
335593,Dunkin' Donuts,15,Transportation Way,Boston,MA,2128
335649,Starbucks,500,Terminal Rd,Boston,MA,2128
335673,Starbucks,430,William F McClellan Hwy,Boston,MA,2128
335681,Dunkin' Donuts,951,Bennington St,Boston,MA,2128
